Scenario,Type,Weather,Radar_mode,Test_run,Duration,Camera_frames,Radar_frames
CCRs,real,rain,object_list,3,15.781204938,475,212
CCRs,real,rain,object_list,1,17.643443346,532,237
CCRs,real,rain,object_list,2,16.05664587,483,215
CCRs,real,rain,cluster,3,15.476990461,465,206
CCRs,real,rain,cluster,2,15.066514492,453,200
CCRs,real,rain,cluster,1,15.694477796,473,208
CCRs,real,night,object_list,4,16.176173448,486,217
CCRs,real,night,object_list,1,15.990463495,480,215
CCRs,real,night,object_list,2,16.900716781,507,227
CCRs,real,night,object_list,3,15.884227752,478,213
CCRs,real,night,cluster,1,16.550089836,499,221
CCRs,real,night,cluster,3,13.903178215,419,186
CCRs,real,daytime,cluster,3,14.364637136,434,192
CCRs,real,daytime,cluster,1,28.813176393,865,385
CCRs,real,daytime,object_list,1,17.23380351,518,231
CCRs,real,daytime,object_list,2,14.231201648,428,191
CCRs,real,daytime,object_list,3,16.487621068,495,222
CCRs,synthetic,rain,object_list,3,14.83229494,437,207
CCRs,synthetic,rain,object_list,1,15.001203298,441,210
CCRs,synthetic,rain,object_list,2,19.663847923,580,275
CCRs,synthetic,rain,cluster,2,13.017642736,381,182
CCRs,synthetic,rain,cluster,3,15.71726346,461,220
CCRs,synthetic,rain,cluster,1,14.421951293,422,202
CCRs,synthetic,night,object_list,4,13.88715744,407,194
CCRs,synthetic,night,object_list,1,13.245277166,390,185
CCRs,synthetic,night,object_list,2,14.515365362,427,203
CCRs,synthetic,night,object_list,3,14.924564599,439,209
CCRs,synthetic,night,cluster,3,12.740872859,373,178
CCRs,synthetic,night,cluster,1,14.653419971,430,205
CCRs,synthetic,daytime,cluster,3,12.67266798,372,177
CCRs,synthetic,daytime,cluster,1,28.899762392,859,404
CCRs,synthetic,daytime,object_list,1,16.275969743,479,227
CCRs,synthetic,daytime,object_list,3,14.399178743,422,201
CCRs,synthetic,daytime,object_list,2,17.798794269,526,249
CBLA,synthetic,night,cluster,1,26.837744474,795,375
